train_number,train_type,source_station,destination_station,section_id,distance_km,scheduled_travel_time,actual_travel_time,scheduled_arrival,actual_arrival,delay_minutes,speed,weather,temperature,rain,visibility,congestion,station_dwell_time,disruption,timestamp,data_source,distance_remaining_km,remaining_travel_time_minutes,parsed_timestamp
12508,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,96.0,64.0,97.0,,,33.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T01:00:00Z,PUBLIC_HISTORICAL,2688.0,1825.0,2023-06-15 01:00:00+00:00
12423,RAJADHANI,NDLS,GHY,NDLS-CNB-SEC-A,96.0,48.0,51.0,,,3.0,120.0,CLEAR,25.0,0.0,8.0,LOW,5.0,NONE,2023-06-15T01:00:00Z,PUBLIC_HISTORICAL,1056.0,531.0,2023-06-15 01:00:00+00:00
12424,RAJADHANI,GHY,NDLS,NDLS-CNB-SEC-A,96.0,48.0,69.0,,,21.0,120.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T01:00:00Z,PUBLIC_HISTORICAL,1008.0,525.0,2023-06-15 01:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1248.0,832.0,1012.0,,,180.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T01:00:00Z,PUBLIC_HISTORICAL,768.0,692.0,2023-06-15 01:00:00+00:00
12423,RAJADHANI,NDLS,GHY,NDLS-CNB-SEC-A,144.0,72.0,81.0,,,9.0,120.0,CLEAR,25.0,0.0,8.0,LOW,5.0,NONE,2023-06-15T02:00:00Z,PUBLIC_HISTORICAL,1008.0,513.0,2023-06-15 02:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1296.0,864.0,1064.0,,,200.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T02:00:00Z,PUBLIC_HISTORICAL,1488.0,1192.0,2023-06-15 02:00:00+00:00
12424,RAJADHANI,GHY,NDLS,NDLS-CNB-SEC-A,144.0,72.0,111.0,,,39.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T02:00:00Z,PUBLIC_HISTORICAL,960.0,519.0,2023-06-15 02:00:00+00:00
12510,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,144.0,96.0,145.0,,,49.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T02:00:00Z,PUBLIC_HISTORICAL,1872.0,1297.0,2023-06-15 02:00:00+00:00
12346,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,144.0,96.0,128.0,,,32.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T02:00:00Z,PUBLIC_HISTORICAL,624.0,448.0,2023-06-15 02:00:00+00:00
12508,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,144.0,96.0,125.0,,,29.0,90.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T02:00:00Z,PUBLIC_HISTORICAL,2640.0,1789.0,2023-06-15 02:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1296.0,864.0,1064.0,,,200.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T02:00:00Z,PUBLIC_HISTORICAL,720.0,680.0,2023-06-15 02:00:00+00:00
12423,RAJADHANI,NDLS,GHY,NDLS-CNB-SEC-A,192.0,96.0,117.0,,,21.0,120.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T03:00:00Z,PUBLIC_HISTORICAL,960.0,501.0,2023-06-15 03:00:00+00:00
12346,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,192.0,128.0,167.0,,,39.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T03:00:00Z,PUBLIC_HISTORICAL,576.0,423.0,2023-06-15 03:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1344.0,896.0,1101.0,,,205.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T03:00:00Z,PUBLIC_HISTORICAL,672.0,653.0,2023-06-15 03:00:00+00:00
12424,RAJADHANI,GHY,NDLS,NDLS-CNB-SEC-A,192.0,96.0,129.0,,,33.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T03:00:00Z,PUBLIC_HISTORICAL,912.0,489.0,2023-06-15 03:00:00+00:00
12510,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,192.0,128.0,211.0,,,83.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T03:00:00Z,PUBLIC_HISTORICAL,1824.0,1299.0,2023-06-15 03:00:00+00:00
12508,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,192.0,128.0,153.0,,,25.0,90.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T03:00:00Z,PUBLIC_HISTORICAL,2592.0,1753.0,2023-06-15 03:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1344.0,896.0,1109.0,,,213.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T03:00:00Z,PUBLIC_HISTORICAL,1440.0,1173.0,2023-06-15 03:00:00+00:00
12508,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,240.0,160.0,206.0,,,46.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T04:00:00Z,PUBLIC_HISTORICAL,2544.0,1742.0,2023-06-15 04:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1392.0,928.0,1119.0,,,191.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T04:00:00Z,PUBLIC_HISTORICAL,624.0,607.0,2023-06-15 04:00:00+00:00
12510,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,240.0,160.0,234.0,,,74.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T04:00:00Z,PUBLIC_HISTORICAL,1776.0,1258.0,2023-06-15 04:00:00+00:00
12423,RAJADHANI,NDLS,GHY,NDLS-CNB-SEC-A,240.0,120.0,146.0,,,26.0,120.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T04:00:00Z,PUBLIC_HISTORICAL,912.0,482.0,2023-06-15 04:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1392.0,928.0,1148.0,,,220.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T04:00:00Z,PUBLIC_HISTORICAL,1392.0,1148.0,2023-06-15 04:00:00+00:00
12346,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,240.0,160.0,215.0,,,55.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T04:00:00Z,PUBLIC_HISTORICAL,528.0,407.0,2023-06-15 04:00:00+00:00
12424,RAJADHANI,GHY,NDLS,NDLS-CNB-SEC-A,240.0,120.0,166.0,,,46.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T04:00:00Z,PUBLIC_HISTORICAL,864.0,478.0,2023-06-15 04:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1440.0,960.0,1161.0,,,201.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T05:00:00Z,PUBLIC_HISTORICAL,576.0,585.0,2023-06-15 05:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,288.0,192.0,247.0,,,55.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T05:00:00Z,PUBLIC_HISTORICAL,1728.0,1207.0,2023-06-15 05:00:00+00:00
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,288.0,192.0,247.0,,,55.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T05:00:00Z,PUBLIC_HISTORICAL,480.0,375.0,2023-06-15 05:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,288.0,144.0,179.0,,,35.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T05:00:00Z,PUBLIC_HISTORICAL,864.0,467.0,2023-06-15 05:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,288.0,192.0,243.0,,,51.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T05:00:00Z,PUBLIC_HISTORICAL,2496.0,1715.0,2023-06-15 05:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,288.0,144.0,180.0,,,36.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T05:00:00Z,PUBLIC_HISTORICAL,816.0,444.0,2023-06-15 05:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1440.0,960.0,1182.0,,,222.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T05:00:00Z,PUBLIC_HISTORICAL,1344.0,1118.0,2023-06-15 05:00:00+00:00
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,336.0,224.0,277.0,,,53.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T06:00:00Z,PUBLIC_HISTORICAL,432.0,341.0,2023-06-15 06:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,336.0,168.0,210.0,,,42.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T06:00:00Z,PUBLIC_HISTORICAL,816.0,450.0,2023-06-15 06:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,336.0,168.0,193.0,,,25.0,120.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T06:00:00Z,PUBLIC_HISTORICAL,768.0,409.0,2023-06-15 06:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1488.0,992.0,1196.0,,,204.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T06:00:00Z,PUBLIC_HISTORICAL,528.0,556.0,2023-06-15 06:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,336.0,224.0,302.0,,,78.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T06:00:00Z,PUBLIC_HISTORICAL,2448.0,1710.0,2023-06-15 06:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,336.0,224.0,287.0,,,63.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T06:00:00Z,PUBLIC_HISTORICAL,1680.0,1183.0,2023-06-15 06:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,384.0,256.0,336.0,,,80.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T07:00:00Z,PUBLIC_HISTORICAL,1632.0,1168.0,2023-06-15 07:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1536.0,1024.0,1234.0,,,210.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T07:00:00Z,PUBLIC_HISTORICAL,480.0,530.0,2023-06-15 07:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,384.0,192.0,226.0,,,34.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T07:00:00Z,PUBLIC_HISTORICAL,720.0,394.0,2023-06-15 07:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,384.0,256.0,338.0,,,82.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T07:00:00Z,PUBLIC_HISTORICAL,2400.0,1682.0,2023-06-15 07:00:00+00:00
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,384.0,256.0,296.0,,,40.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T07:00:00Z,PUBLIC_HISTORICAL,384.0,296.0,2023-06-15 07:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,384.0,192.0,226.0,,,34.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T07:00:00Z,PUBLIC_HISTORICAL,768.0,418.0,2023-06-15 07:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,432.0,288.0,394.0,,,106.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T08:00:00Z,PUBLIC_HISTORICAL,2352.0,1674.0,2023-06-15 08:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,432.0,216.0,251.0,,,35.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T08:00:00Z,PUBLIC_HISTORICAL,672.0,371.0,2023-06-15 08:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,432.0,288.0,378.0,,,90.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T08:00:00Z,PUBLIC_HISTORICAL,1584.0,1146.0,2023-06-15 08:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1584.0,1056.0,1278.0,,,222.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T08:00:00Z,PUBLIC_HISTORICAL,1200.0,1022.0,2023-06-15 08:00:00+00:00
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,432.0,288.0,341.0,,,53.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T08:00:00Z,PUBLIC_HISTORICAL,336.0,277.0,2023-06-15 08:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,432.0,216.0,243.0,,,27.0,120.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T08:00:00Z,PUBLIC_HISTORICAL,720.0,387.0,2023-06-15 08:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1632.0,1088.0,1320.0,,,232.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T09:00:00Z,PUBLIC_HISTORICAL,1152.0,1000.0,2023-06-15 09:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,480.0,240.0,295.0,,,55.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T09:00:00Z,PUBLIC_HISTORICAL,624.0,367.0,2023-06-15 09:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,480.0,240.0,284.0,,,44.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T09:00:00Z,PUBLIC_HISTORICAL,672.0,380.0,2023-06-15 09:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,480.0,320.0,452.0,,,132.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T09:00:00Z,PUBLIC_HISTORICAL,2304.0,1668.0,2023-06-15 09:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,480.0,320.0,413.0,,,93.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T09:00:00Z,PUBLIC_HISTORICAL,1536.0,1117.0,2023-06-15 09:00:00+00:00
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,480.0,320.0,366.0,,,46.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T09:00:00Z,PUBLIC_HISTORICAL,288.0,238.0,2023-06-15 09:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,528.0,352.0,571.0,,,219.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T10:00:00Z,PUBLIC_HISTORICAL,2256.0,1723.0,2023-06-15 10:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,528.0,264.0,314.0,,,50.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T10:00:00Z,PUBLIC_HISTORICAL,624.0,362.0,2023-06-15 10:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,528.0,264.0,310.0,,,46.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T10:00:00Z,PUBLIC_HISTORICAL,576.0,334.0,2023-06-15 10:00:00+00:00
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,528.0,352.0,395.0,,,43.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T10:00:00Z,PUBLIC_HISTORICAL,240.0,203.0,2023-06-15 10:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,528.0,352.0,439.0,,,87.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T10:00:00Z,PUBLIC_HISTORICAL,1488.0,1079.0,2023-06-15 10:00:00+00:00
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,576.0,384.0,443.0,,,59.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T11:00:00Z,PUBLIC_HISTORICAL,192.0,187.0,2023-06-15 11:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,576.0,384.0,451.0,,,67.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T11:00:00Z,PUBLIC_HISTORICAL,1440.0,1027.0,2023-06-15 11:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,576.0,288.0,355.0,,,67.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T11:00:00Z,PUBLIC_HISTORICAL,576.0,355.0,2023-06-15 11:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,576.0,288.0,330.0,,,42.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T11:00:00Z,PUBLIC_HISTORICAL,528.0,306.0,2023-06-15 11:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,576.0,384.0,479.0,,,95.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T11:00:00Z,PUBLIC_HISTORICAL,2208.0,1567.0,2023-06-15 11:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,624.0,312.0,360.0,,,48.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T12:00:00Z,PUBLIC_HISTORICAL,528.0,312.0,2023-06-15 12:00:00+00:00
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,624.0,416.0,487.0,,,71.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T12:00:00Z,PUBLIC_HISTORICAL,144.0,167.0,2023-06-15 12:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,624.0,312.0,368.0,,,56.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T12:00:00Z,PUBLIC_HISTORICAL,480.0,296.0,2023-06-15 12:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,624.0,416.0,512.0,,,96.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T12:00:00Z,PUBLIC_HISTORICAL,1392.0,1024.0,2023-06-15 12:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,624.0,416.0,521.0,,,105.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T12:00:00Z,PUBLIC_HISTORICAL,2160.0,1545.0,2023-06-15 12:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,672.0,336.0,383.0,,,47.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T13:00:00Z,PUBLIC_HISTORICAL,432.0,263.0,2023-06-15 13:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,672.0,448.0,572.0,,,124.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T13:00:00Z,PUBLIC_HISTORICAL,2112.0,1532.0,2023-06-15 13:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,672.0,336.0,393.0,,,57.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T13:00:00Z,PUBLIC_HISTORICAL,480.0,297.0,2023-06-15 13:00:00+00:00
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,672.0,448.0,506.0,,,58.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T13:00:00Z,PUBLIC_HISTORICAL,96.0,122.0,2023-06-15 13:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,672.0,448.0,543.0,,,95.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T13:00:00Z,PUBLIC_HISTORICAL,1344.0,991.0,2023-06-15 13:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,720.0,480.0,551.0,,,71.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T14:00:00Z,PUBLIC_HISTORICAL,1296.0,935.0,2023-06-15 14:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,720.0,360.0,449.0,,,89.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T14:00:00Z,PUBLIC_HISTORICAL,384.0,281.0,2023-06-15 14:00:00+00:00
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,720.0,480.0,529.0,,,49.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T14:00:00Z,PUBLIC_HISTORICAL,48.0,81.0,2023-06-15 14:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,720.0,360.0,410.0,,,50.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T14:00:00Z,PUBLIC_HISTORICAL,432.0,266.0,2023-06-15 14:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,720.0,480.0,612.0,,,132.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T14:00:00Z,PUBLIC_HISTORICAL,2064.0,1508.0,2023-06-15 14:00:00+00:00
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,768.0,384.0,437.0,,,53.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T15:00:00Z,PUBLIC_HISTORICAL,384.0,245.0,2023-06-15 15:00:00+00:00
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,768.0,384.0,486.0,,,102.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T15:00:00Z,PUBLIC_HISTORICAL,336.0,270.0,2023-06-15 15:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,768.0,512.0,649.0,,,137.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T15:00:00Z,PUBLIC_HISTORICAL,2016.0,1481.0,2023-06-15 15:00:00+00:00
