train_number,train_type,source_station,destination_station,section_id,distance_km,scheduled_travel_time,actual_travel_time,scheduled_arrival,actual_arrival,delay_minutes,speed,weather,temperature,rain,visibility,congestion,station_dwell_time,disruption,timestamp,data_source,distance_remaining_km,remaining_travel_time_minutes
TR005,EXPRESS,,,KNP-PRYJ-SEC-B,,,,10:20,10:32,12.0,,CLEAR,17.0,0.0,9.0,LOW,,NONE,2024-01-20T10:25:00Z,PUBLIC_HISTORICAL,,
TR005,EXPRESS,,,KNP-PRYJ-SEC-B,,,,12:10,12:25,15.0,,CLEAR,18.0,0.0,9.0,LOW,,NONE,2024-01-20T12:15:00Z,PUBLIC_HISTORICAL,,
TR005,EXPRESS,,,KNP-PRYJ-SEC-B,,,,14:20,14:30,10.0,,CLEAR,19.0,0.0,9.0,LOW,,NONE,2024-01-20TEnd:00Z,PUBLIC_HISTORICAL,,
TR006,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,13.0,0.0,9.0,LOW,,NONE,2024-01-21T06:50:00Z,PUBLIC_HISTORICAL,,
TR006,EXPRESS,,,KNP-PRYJ-SEC-B,,,,08:20,08:24,4.0,,CLEAR,15.0,0.0,9.0,LOW,,NONE,2024-01-21T08:22:00Z,PUBLIC_HISTORICAL,,
TR006,EXPRESS,,,KNP-PRYJ-SEC-B,,,,09:50,09:55,5.0,,CLEAR,18.0,0.0,9.0,LOW,,NONE,2024-01-21TEnd:00Z,PUBLIC_HISTORICAL,,
TR007,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,26.0,0.0,9.0,LOW,,NONE,2024-01-22T15:20:00Z,PUBLIC_HISTORICAL,,
TR007,EXPRESS,,,KNP-PRYJ-SEC-B,,,,18:30,18:40,10.0,,CLEAR,22.0,0.0,9.0,LOW,,NONE,2024-01-22T18:40:00Z,PUBLIC_HISTORICAL,,
TR007,EXPRESS,,,KNP-PRYJ-SEC-B,,,,01:15,01:28,13.0,,CLEAR,18.0,0.0,9.0,LOW,,NONE,2024-01-23T01:20:00Z,PUBLIC_HISTORICAL,,
TR007,EXPRESS,,,KNP-PRYJ-SEC-B,,,,04:30,04:45,15.0,,CLEAR,20.0,0.0,9.0,LOW,,NONE,2024-01-23T04:35:00Z,PUBLIC_HISTORICAL,,
TR007,EXPRESS,,,KNP-PRYJ-SEC-B,,,,06:40,06:55,15.0,,CLOUDY,24.0,,4.0,LOW,,NONE,2024-01-23TEnd:00Z,PUBLIC_HISTORICAL,,
TR008,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,24.0,0.0,9.0,LOW,,NONE,2024-01-23T05:50:00Z,PUBLIC_HISTORICAL,,
TR008,EXPRESS,,,KNP-PRYJ-SEC-B,,,,09:35,09:38,3.0,,CLEAR,23.0,0.0,9.0,LOW,,NONE,2024-01-23TEnd:00Z,PUBLIC_HISTORICAL,,
TR009,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,27.0,0.0,9.0,LOW,,NONE,2024-01-24T14:35:00Z,PUBLIC_HISTORICAL,,
TR009,EXPRESS,,,KNP-PRYJ-SEC-B,,,,17:45,17:52,7.0,,CLEAR,19.0,0.0,9.0,LOW,,NONE,2024-01-24T17:50:00Z,PUBLIC_HISTORICAL,,
TR009,EXPRESS,,,KNP-PRYJ-SEC-B,,,,21:25,21:35,10.0,,CLEAR,16.0,0.0,9.0,LOW,,NONE,2024-01-24TEnd:00Z,PUBLIC_HISTORICAL,,
TR010,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,RAINY,24.0,15.0,4.0,LOW,,NONE,2024-01-25T18:10:00Z,PUBLIC_HISTORICAL,,
TR010,EXPRESS,,,KNP-PRYJ-SEC-B,,,,20:30,20:42,12.0,,RAINY,22.0,15.0,4.0,LOW,,NONE,2024-01-25T20:35:00Z,PUBLIC_HISTORICAL,,
TR010,EXPRESS,,,KNP-PRYJ-SEC-B,,,,22:15,22:30,15.0,,RAINY,21.0,15.0,4.0,LOW,,NONE,2024-01-25T22:20:00Z,PUBLIC_HISTORICAL,,
TR010,EXPRESS,,,KNP-PRYJ-SEC-B,,,,00:45,01:05,20.0,,RAINY,19.0,15.0,4.0,MEDIUM,,NONE,2024-01-26T00:50:00Z,PUBLIC_HISTORICAL,,
TR010,EXPRESS,,,KNP-PRYJ-SEC-B,,,,06:30,06:48,18.0,,RAINY,25.0,15.0,4.0,MEDIUM,,NONE,2024-01-26T06:35:00Z,PUBLIC_HISTORICAL,,
TR010,EXPRESS,,,KNP-PRYJ-SEC-B,,,,10:15,10:30,15.0,,CLOUDY,28.0,,4.0,LOW,,NONE,2024-01-26T10:20:00Z,PUBLIC_HISTORICAL,,
TR010,EXPRESS,,,KNP-PRYJ-SEC-B,,,,16:20,16:40,20.0,,CLOUDY,27.0,,4.0,MEDIUM,,NONE,2024-01-26TEnd:00Z,PUBLIC_HISTORICAL,,
TR011,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,17.0,0.0,9.0,LOW,,NONE,2024-01-27T15:00:00Z,PUBLIC_HISTORICAL,,
TR011,EXPRESS,,,KNP-PRYJ-SEC-B,,,,17:30,17:33,3.0,,CLEAR,16.0,0.0,9.0,LOW,,NONE,2024-01-27TEnd:00Z,PUBLIC_HISTORICAL,,
TR012,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,FOGGY,11.0,,1.5,LOW,,NONE,2024-01-28T22:40:00Z,PUBLIC_HISTORICAL,,
TR012,EXPRESS,,,KNP-PRYJ-SEC-B,,,,12:15,12:35,20.0,,FOGGY,8.0,,1.5,MEDIUM,,NONE,2024-01-29TEnd:00Z,PUBLIC_HISTORICAL,,
TR013,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,28.0,0.0,9.0,LOW,,NONE,2024-01-29T23:15:00Z,PUBLIC_HISTORICAL,,
TR013,EXPRESS,,,KNP-PRYJ-SEC-B,,,,04:30,04:40,10.0,,CLEAR,26.0,0.0,9.0,LOW,,NONE,2024-01-30TEnd:00Z,PUBLIC_HISTORICAL,,
TR014,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,18.0,0.0,9.0,LOW,,NONE,2024-01-30T11:35:00Z,PUBLIC_HISTORICAL,,
TR014,EXPRESS,,,KNP-PRYJ-SEC-B,,,,13:15,13:18,3.0,,CLEAR,19.0,0.0,9.0,LOW,,NONE,2024-01-30T13:17:00Z,PUBLIC_HISTORICAL,,
TR014,EXPRESS,,,KNP-PRYJ-SEC-B,,,,16:45,16:55,10.0,,CLEAR,17.0,0.0,9.0,LOW,,NONE,2024-01-30T16:50:00Z,PUBLIC_HISTORICAL,,
TR014,EXPRESS,,,KNP-PRYJ-SEC-B,,,,04:50,05:05,15.0,,FOGGY,10.0,,1.5,LOW,,NONE,2024-01-31TEnd:00Z,PUBLIC_HISTORICAL,,
TR015,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,16.0,0.0,9.0,LOW,,NONE,2024-02-01T17:45:00Z,PUBLIC_HISTORICAL,,
TR015,EXPRESS,,,KNP-PRYJ-SEC-B,,,,19:30,19:38,8.0,,CLEAR,15.0,0.0,9.0,LOW,,NONE,2024-02-01T19:35:00Z,PUBLIC_HISTORICAL,,
TR015,EXPRESS,,,KNP-PRYJ-SEC-B,,,,20:50,21:00,10.0,,CLEAR,14.0,0.0,9.0,LOW,,NONE,2024-02-01T20:55:00Z,PUBLIC_HISTORICAL,,
TR015,EXPRESS,,,KNP-PRYJ-SEC-B,,,,21:40,21:48,8.0,,CLEAR,13.0,0.0,9.0,LOW,,NONE,2024-02-01T21:45:00Z,PUBLIC_HISTORICAL,,
TR015,EXPRESS,,,KNP-PRYJ-SEC-B,,,,22:30,22:35,5.0,,CLEAR,13.0,0.0,9.0,LOW,,NONE,2024-02-01TEnd:00Z,PUBLIC_HISTORICAL,,
TR016,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,27.0,0.0,9.0,LOW,,NONE,2024-02-02T05:40:00Z,PUBLIC_HISTORICAL,,
TR016,EXPRESS,,,KNP-PRYJ-SEC-B,,,,12:30,12:42,12.0,,CLEAR,29.0,0.0,9.0,LOW,,NONE,2024-02-02TEnd:00Z,PUBLIC_HISTORICAL,,
TR017,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,20.0,0.0,9.0,LOW,,NONE,2024-02-03T15:30:00Z,PUBLIC_HISTORICAL,,
TR017,EXPRESS,,,KNP-PRYJ-SEC-B,,,,20:15,20:22,7.0,,CLEAR,16.0,0.0,9.0,LOW,,NONE,2024-02-03TEnd:00Z,PUBLIC_HISTORICAL,,
TR018,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,FOGGY,10.0,,1.5,LOW,,NONE,2024-02-04T06:15:00Z,PUBLIC_HISTORICAL,,
TR018,EXPRESS,,,KNP-PRYJ-SEC-B,,,,08:30,08:42,12.0,,FOGGY,9.0,,1.5,LOW,,NONE,2024-02-04T08:35:00Z,PUBLIC_HISTORICAL,,
TR018,EXPRESS,,,KNP-PRYJ-SEC-B,,,,12:30,12:45,15.0,,FOGGY,8.0,,1.5,LOW,,NONE,2024-02-04TEnd:00Z,PUBLIC_HISTORICAL,,
TR019,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,22.0,0.0,9.0,LOW,,NONE,2024-02-05T20:45:00Z,PUBLIC_HISTORICAL,,
TR019,EXPRESS,,,KNP-PRYJ-SEC-B,,,,06:30,06:48,18.0,,CLEAR,19.0,0.0,9.0,MEDIUM,,NONE,2024-02-06TEnd:00Z,PUBLIC_HISTORICAL,,
TR020,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,25.0,0.0,9.0,LOW,,NONE,2024-02-06T22:00:00Z,PUBLIC_HISTORICAL,,
TR020,EXPRESS,,,KNP-PRYJ-SEC-B,,,,10:45,10:58,13.0,,CLEAR,21.0,0.0,9.0,LOW,,NONE,2024-02-07TEnd:00Z,PUBLIC_HISTORICAL,,
12346,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,48.0,32.0,47.0,,,15.0,90.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T00:00:00Z,PUBLIC_HISTORICAL,720.0,495.0
12346,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,96.0,64.0,80.0,,,16.0,90.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T01:00:00Z,PUBLIC_HISTORICAL,672.0,464.0
12346,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,144.0,96.0,128.0,,,32.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T02:00:00Z,PUBLIC_HISTORICAL,624.0,448.0
12346,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,192.0,128.0,167.0,,,39.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T03:00:00Z,PUBLIC_HISTORICAL,576.0,423.0
12346,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,240.0,160.0,215.0,,,55.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T04:00:00Z,PUBLIC_HISTORICAL,528.0,407.0
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,288.0,192.0,247.0,,,55.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T05:00:00Z,PUBLIC_HISTORICAL,480.0,375.0
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,336.0,224.0,277.0,,,53.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T06:00:00Z,PUBLIC_HISTORICAL,432.0,341.0
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,384.0,256.0,296.0,,,40.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T07:00:00Z,PUBLIC_HISTORICAL,384.0,296.0
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,432.0,288.0,341.0,,,53.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T08:00:00Z,PUBLIC_HISTORICAL,336.0,277.0
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,480.0,320.0,366.0,,,46.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T09:00:00Z,PUBLIC_HISTORICAL,288.0,238.0
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,528.0,352.0,395.0,,,43.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T10:00:00Z,PUBLIC_HISTORICAL,240.0,203.0
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,576.0,384.0,443.0,,,59.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T11:00:00Z,PUBLIC_HISTORICAL,192.0,187.0
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,624.0,416.0,487.0,,,71.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T12:00:00Z,PUBLIC_HISTORICAL,144.0,167.0
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,672.0,448.0,506.0,,,58.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T13:00:00Z,PUBLIC_HISTORICAL,96.0,122.0
12346,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,720.0,480.0,529.0,,,49.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T14:00:00Z,PUBLIC_HISTORICAL,48.0,81.0
12423,RAJADHANI,NDLS,GHY,NDLS-CNB-SEC-A,48.0,24.0,32.0,,,8.0,120.0,CLEAR,25.0,0.0,8.0,LOW,5.0,NONE,2023-06-15T00:00:00Z,PUBLIC_HISTORICAL,1104.0,560.0
12423,RAJADHANI,NDLS,GHY,NDLS-CNB-SEC-A,96.0,48.0,51.0,,,3.0,120.0,CLEAR,25.0,0.0,8.0,LOW,5.0,NONE,2023-06-15T01:00:00Z,PUBLIC_HISTORICAL,1056.0,531.0
12423,RAJADHANI,NDLS,GHY,NDLS-CNB-SEC-A,144.0,72.0,81.0,,,9.0,120.0,CLEAR,25.0,0.0,8.0,LOW,5.0,NONE,2023-06-15T02:00:00Z,PUBLIC_HISTORICAL,1008.0,513.0
12423,RAJADHANI,NDLS,GHY,NDLS-CNB-SEC-A,192.0,96.0,117.0,,,21.0,120.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T03:00:00Z,PUBLIC_HISTORICAL,960.0,501.0
12423,RAJADHANI,NDLS,GHY,NDLS-CNB-SEC-A,240.0,120.0,146.0,,,26.0,120.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T04:00:00Z,PUBLIC_HISTORICAL,912.0,482.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,288.0,144.0,179.0,,,35.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T05:00:00Z,PUBLIC_HISTORICAL,864.0,467.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,336.0,168.0,210.0,,,42.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T06:00:00Z,PUBLIC_HISTORICAL,816.0,450.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,384.0,192.0,226.0,,,34.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T07:00:00Z,PUBLIC_HISTORICAL,768.0,418.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,432.0,216.0,243.0,,,27.0,120.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T08:00:00Z,PUBLIC_HISTORICAL,720.0,387.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,480.0,240.0,284.0,,,44.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T09:00:00Z,PUBLIC_HISTORICAL,672.0,380.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,528.0,264.0,314.0,,,50.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T10:00:00Z,PUBLIC_HISTORICAL,624.0,362.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,576.0,288.0,355.0,,,67.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T11:00:00Z,PUBLIC_HISTORICAL,576.0,355.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,624.0,312.0,360.0,,,48.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T12:00:00Z,PUBLIC_HISTORICAL,528.0,312.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,672.0,336.0,393.0,,,57.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T13:00:00Z,PUBLIC_HISTORICAL,480.0,297.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,720.0,360.0,410.0,,,50.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T14:00:00Z,PUBLIC_HISTORICAL,432.0,266.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,768.0,384.0,437.0,,,53.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T15:00:00Z,PUBLIC_HISTORICAL,384.0,245.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,816.0,408.0,468.0,,,60.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T16:00:00Z,PUBLIC_HISTORICAL,336.0,228.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,864.0,432.0,474.0,,,42.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T17:00:00Z,PUBLIC_HISTORICAL,288.0,186.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,912.0,456.0,501.0,,,45.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T18:00:00Z,PUBLIC_HISTORICAL,240.0,165.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,960.0,480.0,520.0,,,40.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T19:00:00Z,PUBLIC_HISTORICAL,192.0,136.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,1008.0,504.0,566.0,,,62.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T20:00:00Z,PUBLIC_HISTORICAL,144.0,134.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,1056.0,528.0,604.0,,,76.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T21:00:00Z,PUBLIC_HISTORICAL,96.0,124.0
12423,RAJADHANI,NDLS,GHY,KNP-PRYJ-SEC-B,1104.0,552.0,640.0,,,88.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T22:00:00Z,PUBLIC_HISTORICAL,48.0,112.0
12424,RAJADHANI,GHY,NDLS,NDLS-CNB-SEC-A,48.0,24.0,29.0,,,5.0,120.0,CLEAR,25.0,0.0,8.0,LOW,5.0,NONE,2023-06-15T00:00:00Z,PUBLIC_HISTORICAL,1056.0,533.0
12424,RAJADHANI,GHY,NDLS,NDLS-CNB-SEC-A,96.0,48.0,69.0,,,21.0,120.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T01:00:00Z,PUBLIC_HISTORICAL,1008.0,525.0
12424,RAJADHANI,GHY,NDLS,NDLS-CNB-SEC-A,144.0,72.0,111.0,,,39.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T02:00:00Z,PUBLIC_HISTORICAL,960.0,519.0
12424,RAJADHANI,GHY,NDLS,NDLS-CNB-SEC-A,192.0,96.0,129.0,,,33.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T03:00:00Z,PUBLIC_HISTORICAL,912.0,489.0
12424,RAJADHANI,GHY,NDLS,NDLS-CNB-SEC-A,240.0,120.0,166.0,,,46.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T04:00:00Z,PUBLIC_HISTORICAL,864.0,478.0
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,288.0,144.0,180.0,,,36.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T05:00:00Z,PUBLIC_HISTORICAL,816.0,444.0
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,336.0,168.0,193.0,,,25.0,120.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T06:00:00Z,PUBLIC_HISTORICAL,768.0,409.0
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,384.0,192.0,226.0,,,34.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T07:00:00Z,PUBLIC_HISTORICAL,720.0,394.0
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,432.0,216.0,251.0,,,35.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T08:00:00Z,PUBLIC_HISTORICAL,672.0,371.0
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,480.0,240.0,295.0,,,55.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T09:00:00Z,PUBLIC_HISTORICAL,624.0,367.0
12424,RAJADHANI,GHY,NDLS,KNP-PRYJ-SEC-B,528.0,264.0,310.0,,,46.0,120.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T10:00:00Z,PUBLIC_HISTORICAL,576.0,334.0
